Date,Open,High,Low,Close,Volume,Name,Daily_return,7_day_MA,30_day_MA
2013-02-08,15.07,15.12,14.63,14.75,8407500,AAL,,,
2013-02-08,67.7142,68.4014,66.8928,67.8542,158168416,AAPL,3.6002847457627123,,
2013-02-08,78.34,79.72,78.01,78.9,1298137,AAP,0.1627872703531985,,
2013-02-11,78.65,78.91,77.23,78.39,758016,AAP,-0.006463878326996242,,
2013-02-11,14.89,15.01,14.26,14.46,8882000,AAL,-0.815537696134711,,
2013-02-11,68.0714,69.2771,67.6071,68.5614,129029425,AAPL,3.7414522821576766,,
2013-02-12,68.5014,68.9114,66.8205,66.8428,151829363,AAPL,-0.02506658265438,55.67977142857143,
2013-02-12,14.45,14.51,14.1,14.27,8126000,AAL,-0.7865140299329172,55.611200000000004,
2013-02-12,78.39,78.63,77.5132,78.6,876859,AAP,4.508058864751226,57.14631428571429,
2013-02-13,66.7442,67.6628,66.1742,66.7156,118721995,AAPL,-0.1512010178117048,55.40568571428571,
2013-02-13,78.9,79.13,77.85,78.97,1038574,AAP,0.1836811780153369,55.48854285714286,
2013-02-13,14.3,14.94,14.25,14.66,10259500,AAL,-0.8143598835000633,55.517114285714285,
2013-02-14,78.66,79.72,78.585,78.84,1005376,AAP,4.377899045020464,56.98548571428572,
2013-02-14,14.94,14.96,13.16,13.99,31879900,AAL,-0.8225520040588534,49.43508571428571,
2013-02-14,66.3599,67.3771,66.2885,66.6556,88809154,AAPL,3.7645175125089354,56.91874285714285,
2013-02-15,13.93,14.61,13.93,14.5,15628000,AAL,-0.782463889005575,47.761599999999994,
2013-02-15,78.83,79.18,77.93,79.0,1247063,AAP,4.448275862068965,49.51651428571428,
2013-02-15,66.9785,67.1656,65.7028,65.7371,97924631,AAPL,-0.1678848101265823,47.6261,
2013-02-19,79.12,81.44,78.57,80.72,1730690,AAP,0.2279215237666401,57.06324285714286,
2013-02-19,65.8714,66.1042,64.8356,65.7128,108854046,AAPL,-0.18591674925668977,55.18792857142858,
2013-02-19,14.33,14.56,14.08,14.26,11354400,AAL,-0.7829950938021207,55.2265,
2013-02-20,80.42,80.94,79.39,79.5,648693,AAP,4.575035063113605,57.061414285714285,
2013-02-20,65.3842,65.3842,64.1142,64.1214,118891367,AAPL,-0.19344150943396232,64.15018571428571,
2013-02-20,14.17,14.26,13.15,13.33,14725200,AAL,-0.7921130854909593,54.76875714285713,
2013-02-21,63.7142,64.1671,63.2599,63.7228,111596821,AAPL,3.780405101275319,54.480999999999995,
2013-02-21,79.26,80.05,78.56,79.06,915160,AAP,0.24068622219990332,54.243857142857145,
2013-02-21,13.62,13.95,12.9,13.37,11922100,AAL,-0.8308879332152795,46.76631428571428,
2013-02-22,13.57,13.6,13.21,13.57,6071400,AAL,0.014958863126402377,46.667742857142855,
2013-02-22,79.2,79.46,78.63,79.21,538188,AAP,4.837140751658069,46.62631428571428,
2013-02-22,64.1785,64.5142,63.7999,64.4014,82583823,AAPL,-0.186953667466229,46.666314285714286,53.089169999999996
2013-02-25,79.46,79.74,78.36,78.36,579811,AAP,0.21674373538463465,55.95631428571429,55.20950333333334
2013-02-25,64.8356,65.0171,63.2242,63.2571,92899597,AAPL,-0.1927373660030628,55.889785714285715,55.056266666666666
2013-02-25,13.6,13.76,13.0,13.02,7186400,AAL,-0.7941733022854351,46.455499999999994,52.86026666666667
2013-02-26,13.14,13.42,12.7,13.26,9419000,AAL,0.018433179723502224,46.43978571428571,50.68926666666667
2013-02-26,78.42,78.925,76.42,77.15,990145,AAP,4.818250377073907,55.522642857142856,52.778933333333335
2013-02-26,63.4028,64.5056,62.5228,64.1385,125096657,AAPL,-0.16865197666882714,53.369571428571426,52.63150333333333
2013-02-27,77.29,77.58,76.22,77.3,720813,AAP,0.2052043624344193,55.21222857142857,52.98007666666667
2013-02-27,64.0614,64.6342,62.9499,63.5099,146674682,AAPL,-0.17839715394566613,53.09078571428571,54.621406666666665
2013-02-27,13.28,13.62,13.18,13.41,7390500,AAL,-0.7888518168033645,45.96977142857143,52.44840666666666
2013-02-28,13.49,13.63,13.39,13.43,6143600,AAL,0.001491424310216205,46.02834285714285,50.67222
2013-02-28,63.4357,63.9814,63.0571,63.0571,80532382,AAPL,3.69524199553239,53.14221428571428,50.14179
2013-02-28,77.35,77.59,76.34,76.34,1180713,AAP,0.2106487612021486,53.0265,52.197790000000005
2013-03-01,13.37,13.95,13.32,13.61,7376800,AAL,-0.8217186271941315,45.80814285714286,50.02345666666666
2013-03-01,76.37,76.66,75.623,76.37,1272624,AAP,4.61131520940485,45.675285714285714,52.10279
2013-03-01,62.5714,62.5971,61.4257,61.4957,137899041,AAPL,-0.1947662694775436,45.38754285714286,51.930793333333334
2013-03-04,76.24,77.25,76.1,77.02,1098428,AAP,0.25244529292291973,54.47468571428572,54.01479333333334
2013-03-04,13.5,14.07,13.47,13.9,8174800,AAL,-0.8195273954816931,54.541828571428574,51.844793333333335
2013-03-04,61.1142,61.1714,59.8571,60.0071,145406366,AAPL,3.3170575539568343,54.106114285714284,51.65379333333333
2013-03-05,77.07,77.49,76.72,76.95,1288012,AAP,0.2823482554564376,54.19325714285714,51.528126666666665
2013-03-05,14.01,14.05,13.71,14.05,7676100,AAL,-0.8174139051332034,54.25611428571428,49.80603333333333
2013-03-05,60.2114,62.1699,60.1071,61.5919,159298020,AAPL,3.3837651245551603,52.14495714285715,51.383763333333334
2013-03-06,14.52,14.68,14.25,14.57,13243200,AAL,-0.7634429202541243,45.44128571428571,49.219429999999996
2013-03-06,62.0728,62.1785,60.6328,60.8088,114903180,AAPL,3.1735621139327383,43.1254,49.10901
2013-03-06,77.1,77.24,75.97,76.18,1255676,AAP,0.2527792030100908,52.02254285714286,51.204010000000004
